pcode,Week,new_qty_pc,new_style_pc,prod_br,prod_dp,sval_pc,sval_pvw_pc,prod_br_pc,unit_dp_pc,clicks,impressions,avg_pos,transactions,CTR,econv_rate
ACAC,201423,0.280079112,0.105263158,70.57142857,1300.142857,0.77875,0.838992556,0.249545537,1.030857379,978,10170,1.3,1,0.096165192,0.001022495
ACAC,201424,0.066161434,0.021912351,71.71428571,1187.571429,0.750463249,0.751063357,0.269781092,0.855017843,1209,13994,1.8,9,0.086394169,0.007444169
ACAC,201425,0,0,70.28571429,1119.285714,0.775713338,0.800136162,0.244486648,0.74835376,1315,15764,1.7,8,0.083417914,0.00608365
ACAC,201426,0.328881621,0.197486535,79.57142857,1572.428571,0.791147994,0.805672063,0.408900535,1.456174835,1394,14967,1.7,14,0.093138237,0.010043042
ACAC,201427,0.413114439,0.273291925,80.5,1736,0.78549287,0.854480037,0.425341923,1.711677714,1127,12539,1.7,10,0.089879576,0.008873114
ACAC,201428,0.264931779,0.176156584,80.28571429,1581,0.798959319,0.826424807,0.421547757,1.469563632,1223,13952,1.9,18,0.087657683,0.014717907
ACAC,201429,0.008270159,0.003745318,76.28571429,1451,0.795341923,0.810288681,0.350723313,1.266500209,1286,14021,1.5,19,0.091719564,0.014774495
ACAC,201430,0,0,76,1380,0.77898372,0.784710044,0.345664425,1.155596339,1300,12960,1.4,19,0.100308642,0.014615385
ACAC,201431,0,0,75.42857143,1246,0.750882501,0.754587474,0.335546647,0.946284811,1205,12950,1.5,13,0.093050193,0.010788382
ACAC,201432,0,0,75.71428571,1149.857143,0.739572737,0.75385494,0.340605536,0.796107136,1207,14641,1.9,6,0.082439724,0.004971002
ACAC,201433,0,0,68.5,950.8333333,0.757218621,0.765569367,0.212868593,0.485226705,645,9850,2.1,10,0.065482234,0.015503876
ACAC,201434,0,0,73.71428571,1037.285714,0.734844491,0.760534733,0.305193314,0.6202676,597,9220,1.8,13,0.064750542,0.021775544
ACAC,201435,0,0,72.42857143,943.1428571,0.712358338,0.746320163,0.282428314,0.473213978,777,8868,1.5,13,0.087618403,0.016731017
ACAC,201436,0,0,73,938,0.686346863,0.754719372,0.292546092,0.4651807,569,6884,1.7,10,0.082655433,0.017574692
ACAC,201438,0,0,70,804.5,0.652173913,0.67997902,0.23942776,0.256650185,750,6725,1.3,13,0.111524164,0.017333333
ACAC,201441,0,0,68,690.6666667,0.631614654,0.638473732,0.204015538,0.07883952,304,5402,2.2,8,0.056275454,0.026315789
ACAC,201442,0,0,68.71428571,661.5714286,0.624926167,0.63808923,0.21666276,0.033391992,389,5636,1.9,3,0.069020582,0.007712082
ACAC,201443,0,0,66.5,603,0.625915081,0.635705588,0.177456372,-0.058098121,483,7116,1.7,8,0.067875211,0.016563147
ACAC,201444,0,0,66.33333333,526.1666667,0.57856094,0.593038577,0.174505353,-0.178113811,412,5634,2,4,0.073127441,0.009708738
ACAC,201445,0,0,64.85714286,489.2857143,0.557281553,0.578534183,0.148367761,-0.23572283,329,5521,2.4,4,0.059590654,0.012158055
ACAC,201446,0,0,65.42857143,460.7142857,0.537922243,0.570139231,0.158485539,-0.280352154,342,5212,2.7,4,0.065617805,0.011695906
ACAC,201447,0,0,65.5,431.1666667,0.535022355,0.55678804,0.159750261,-0.326506313,419,5890,2.1,5,0.071137521,0.011933174
ACAC,201448,0,0,63.14285714,393.7142857,0.52464551,0.567855229,0.118014428,-0.385007918,392,6423,2.7,4,0.061030671,0.010204082
ACAC,201449,0.310008857,0.071269488,64.14285714,483.8571429,0.507462687,0.565299473,0.135720539,-0.244202402,511,7105,2.3,3,0.071921182,0.005870841
ACAC,201450,0.575748081,0.226487524,74.42857143,911.8571429,0.562086701,0.582481379,0.317840536,0.424344869,429,6013,2.5,5,0.071345418,0.011655012
ACAC,201451,0.584478022,0.228846154,74.28571429,832,0.634323833,0.775061011,0.315311092,0.299605909,268,4742,2.9,8,0.056516238,0.029850746
ACAC,201452,0.168464405,0.068493151,73,728.4285714,0.619879518,0.701176416,0.292546092,0.13782461,371,4967,2.2,8,0.074692974,0.021563342
